Designator,Mid X,Mid Y,Layer,Rotation
C1,214,-144,top,0
C2,188.4375,-129.7,top,180
C3,185.9,-141.5875,top,90
C4,194.75,-155.1425,top,0
C5,214,-140,top,0
C6,194.75,-157.1425,top,0
C7,170.15,-141.9,top,0
C8,170.1375,-139.5,top,0
C9,184.22,-151.1,top,180
C10,192.2,-155.2275,top,-90
C11,190.5,-154.0425,top,0
C12,132.7,-143.1,top,180
C13,134.95,-140.45,top,0
C14,198.25,-151.1425,top,180
C15,198.25,-157.1425,top,180
C16,198.25,-155.1425,top,180
C17,198.2375,-153.1425,top,180
C18,184.23,-149.65,top,180
C19,224,-156,top,0
C20,219,-144,top,0
C21,229,-157,top,0
C22,201,-96,top,0
C23,223,-126,top,0
C24,135.6,-151.55,top,0
C25,135.52,-154.75,top,0
C26,135.52,-153.45,top,0
C27,129.3,-153.45,top,-90
C28,141.65,-149.15,top,-90
C29,137.35,-146.22,top,-90
C30,141.55,-133.5,top,0
C31,137.15,-143.27,top,-90
CR1,233.6,-156.9,top,90
D1,151.8,-104.5,top,180
D2,155.45,-104.5,top,180
D3,188,-127,top,0
D4,203,-157,top,0
D6,200,-130,top,0
J1,220.4875,-132.121,top,0
J2,143.68,-73.655,top,180
J4,230.345,-147.395,top,0
J5,164.97,-144.7,top,0
J6,116.625,-158.125,top,90
J14,205.3,-82.7,top,90
L1,195.65,-147.2425,top,0
Module1,195.5,-73.5,top,180
Module1,55.5,-73.5,top,180
Q4,203.8,-136.9,top,-90
R1,154.9,-102,top,90
R2,200,-127,top,0
R3,195,-130,top,0
R5,196,-81.5,top,0
R10,152.7,-102,top,90
R11,189,-157,top,0
R12,186.8,-136.1,top,180
R13,214,-147,top,0
R14,191.6,-150.4575,top,-90
R15,190.5,-153.0425,top,0
R16,192.2,-152.5575,top,90
R17,219,-150,top,0
R18,219,-140,top,0
R19,219,-147,top,0
R22,144,-100,top,0
R23,195,-127,top,0
S1,150,-93,top,0
U1,197.185,-137.15,top,90
U2,134.15,-146.6,top,0
U5,154.7,-98.9,top,-90
U6,187.5,-133.2625,top,-90
U8,194.3,-152.1425,top,90
